id,value,unit
kcat,1.1,CustomUnit("swedgeone")
Km_SPC_56_Cell,0.015,CustomUnit("M")
Kis_SPC_3120_cytosol,0.000117,CustomUnit("M")
kcat,4.9,CustomUnit("swedgeone")
Km_SPC_37_cytosol,0.0000363,CustomUnit("M")
Act,0.00002666667,CustomUnit("molswedgeonegwedgeone")
Km_SPC_56_cytoplasm,0.00037,CustomUnit("M")
Km_SPC_56_Cell,0.34,CustomUnit("M")
kcat,62.66667,CustomUnit("swedgeone")
kcat_Km_SPC_56_Cell,183.3333,CustomUnit("Mwedgeoneswedgeone")
kcat,74,CustomUnit("swedgeone")
Kia_SPC_38_Cell,0.000002,CustomUnit("M")
Kma_SPC_1292_Cell,0.036,CustomUnit("M")
Kmb_SPC_38_Cell,0.000028,CustomUnit("M")
kcat_Km_SPC_56_Cell,0.25,CustomUnit("Mwedgeoneswedgeone")
Act,0.000004166667,CustomUnit("molswedgeonegwedgeone")
Kmb_SPC_38_Cell,0.00013,CustomUnit("M")
Kia_SPC_38_Cell,0.000015,CustomUnit("M")
kcat,240,CustomUnit("swedgeone")
Kma_SPC_1292_Cell,0.094,CustomUnit("M")
kcat_Km_SPC_56_Cell,0.25,CustomUnit("Mwedgeoneswedgeone")
Kq_SPC_38_cytosol,0.000244,CustomUnit("M")
Kiq_SPC_38_cytosol,0.0000826,CustomUnit("M")
kcat,360,CustomUnit("swedgeone")
Kp_SPC_1292_cytosol,0.00619,CustomUnit("M")
Kip_SPC_1292_cytosol,0.0194,CustomUnit("M")
Km_SPC_1292_cytoplasm,0.0192,CustomUnit("M")
IC50_1_SPC_23139_Cell,0.0026,CustomUnit("M")
kcatKm_SPC_56_Cell,2333.333,CustomUnit("Mwedgeoneswedgeone")
Km_SPC_56_Cell,0.0017,CustomUnit("M")
kcat,4,CustomUnit("swedgeone")
IC50_1_SPC_9941_Cell,0.0000042,CustomUnit("M")
Ki_SPC_9941_Cell,0.0000021,CustomUnit("M")
Km_SPC_1292_cytoplasm,0.00124,CustomUnit("M")
kcat,3.333333,CustomUnit("swedgeone")
Km_SPC_1292_Cell,0.0114,CustomUnit("M")
kcatdivKm_SPC_56_mitochondrion,101000,CustomUnit("Mwedgeoneswedgeone")
Km_SPC_56_mitochondrion,0.00085,CustomUnit("M")
kcat,85.83333,CustomUnit("swedgeone")
kcatKm_SPC_56_Cell,133.3333,CustomUnit("Mwedgeoneswedgeone")
Km_SPC_56_Cell,0.0012,CustomUnit("M")
kcat,0.1666667,CustomUnit("swedgeone")
IC50_1_SPC_9941_Cell,0.0000002,CustomUnit("M")
Ki_SPC_9941_Cell,0.0000001,CustomUnit("M")
kcat,285,CustomUnit("swedgeone")
kcatdivKm_SPC_37_mitochondrion,290000,CustomUnit("Mwedgeoneswedgeone")
Km_SPC_37_mitochondrion,0.00098,CustomUnit("M")
kcat,1.916667,CustomUnit("swedgeone")
kcat_Km_SPC_56_cytosol,4000,CustomUnit("Mwedgeoneswedgeone")
Km_SPC_56_cytosol,0.00048,CustomUnit("M")
Km_SPC_38_cytoplasm,0.0000097,CustomUnit("M")
Ki_SPC_26701_Cell,0.0028,CustomUnit("M")
Km_SPC_56_Cell,0.0106,CustomUnit("M")
kcat,0.175,CustomUnit("swedgeone")
kcat_Km_SPC_56_Cell,16.66667,CustomUnit("Mwedgeoneswedgeone")
Ka_SPC_2889_Cell,0.00025,CustomUnit("M")
KmA_SPC_37_Cell,0.0000074,CustomUnit("M")
KmS_SPC_56_Cell,0.000022,CustomUnit("M")
KiA_SPC_37_Cell,0.00009,CustomUnit("M")
Vmax_KmS_SPC_56_Cell,0.0650013,CustomUnit("katMwedgeonegwedgeone")
Vmax,0.000001416695,CustomUnit("katgwedgeone")
kcat,1.2,CustomUnit("swedgeone")
Ki_SPC_6946_Cell,0.000028,CustomUnit("M")
Km_SPC_56_Cell,0,CustomUnit("")
KiA_SPC_37_Cell,0.00034,CustomUnit("M")
Vmax,0.0001433362,CustomUnit("katgwedgeone")
Km_SPC_37_Cell,0.00018,CustomUnit("M")
Km_SPC_56_Cell,0.0014,CustomUnit("M")
kcat_Km_SPC_56_Cell,716.6667,CustomUnit("Mwedgeoneswedgeone")
kcat,1,CustomUnit("swedgeone")
Km_SPC_1292_mitochondrion,0.00022,CustomUnit("M")
kcatdivKm_SPC_1292_mitochondrion,3333333,CustomUnit("Mwedgeoneswedgeone")
kcat,726.6667,CustomUnit("swedgeone")
kcat,61,CustomUnit("swedgeone")
Kis_SPC_3120_cytosol,0.000419,CustomUnit("M")
Km_SPC_37_cytosol,0.000557,CustomUnit("M")
Ki_SPC_9941_Cell,0.0000002,CustomUnit("M")
kcat,0.4,CustomUnit("swedgeone")
Km_SPC_56_Cell,0.00018,CustomUnit("M")
k_minus1,5.1,CustomUnit("swedgeone")
KmA_SPC_37_Cell,0.000011,CustomUnit("M")
kcat,2.4,CustomUnit("swedgeone")
k1,220000,CustomUnit("Mwedgeoneswedgeone")
KmB_SPC_56_Cell,0.006,CustomUnit("M")
Kii_SPC_26699_Cell,0.0000000043,CustomUnit("M")
